0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
8.061,	14.507,	+1000,	12.976,	3.429,	102.143,	3.127,	3.285,	5.225,	20.294,	11.405,	4.325,	
193.984,	315.202,	+1000,	5.111,	1.535,	503.567,	7.918,	7.289,	105.374,	21.312,	8.054,	208.459,	
96.215,	+1000,	601.89,	15.618,	1.56,	607.785,	11.197,	1.617,	107.941,	87.428,	3.042,	1.016,	
33.7,	3.782,	+1000,	11.124,	12.951,	306.428,	3.312,	10.335,	107.128,	111.403,	7.2,	204.224,	
134.375,	+1000,	+1000,	8.12,	6.322,	405.918,	12.319,	5.53,	5.076,	35.438,	7.976,	5.888,	
3.21,	23.411,	+1000,	12.295,	2.276,	107.128,	5.073,	7.515,	8.464,	55.908,	19.473,	3.321,	
109.567,	1.063,	107.04,	11.404,	6.301,	200.931,	19.231,	8.369,	5.473,	13.499,	3.116,	5.257,	
71.937,	+1000,	+1000,	8.563,	4.299,	201.545,	6.002,	4.513,	6.061,	30.489,	25.419,	5.17,	
745.988,	1.813,	+1000,	14.171,	5.422,	8.097,	20.025,	5.753,	104.018,	90.704,	56.222,	5.351,	
221.93,	+1000,	+1000,	1.439,	1.431,	2.59,	20.895,	8.916,	9.746,	14.438,	47.536,	8.427,	

+1000,	104.624,	+1000,	17.934,	8.303,	3.145,	17.453,	9.794,	1.158,	7.652,	2.288,	5.902,	
360.002,	108.234,	104.637,	12.948,	1.104,	802.287,	35.231,	11.241,	2.446,	16.24,	9.005,	5.612,	
19.945,	205.728,	204.075,	8.497,	113.34,	+1000,	0.553,	9.851,	2.74,	9.081,	38.162,	206.507,	
26.574,	321.33,	+1000,	2.726,	2.834,	3.913,	0.487,	29.626,	1.361,	47.167,	17.034,	102.706,	
101.423,	204.7,	+1000,	4.572,	4.964,	605.483,	5.921,	11.575,	101.24,	17.263,	36.453,	101.926,	
+1000,	509.79,	302.512,	18.752,	3.514,	4.744,	2.143,	3.042,	1.82,	47.37,	49.184,	10.371,	
4.767,	156.422,	+1000,	1.73,	4.191,	101.13,	39.076,	15.056,	207.186,	99.166,	25.452,	4.669,	
29.993,	121.332,	+1000,	7.222,	3.416,	206.345,	1.714,	7.976,	3.767,	59.671,	17.468,	0.39,	
453.688,	+1000,	+1000,	3.004,	1.465,	301.733,	7.178,	12.437,	3.882,	47.193,	34.349,	6.601,	
58.862,	109.522,	0.415,	2.953,	4.379,	102.048,	15.416,	1.635,	2.139,	7.901,	10.232,	109.157,	

6.22,	208.278,	604.144,	13.947,	27.895,	200.357,	3.3,	11.051,	9.187,	10.687,	35.243,	108.812,	
352.356,	+1000,	900.485,	11.139,	8.326,	101.235,	23.371,	11.32,	1.664,	38.36,	5.678,	7.514,	
299.004,	4.797,	+1000,	11.013,	1.95,	303.347,	31.111,	1.596,	201.258,	10.279,	8.891,	5.171,	
319.314,	122.593,	+1000,	12.348,	9.023,	101.522,	1.922,	12.886,	5.08,	40.672,	53.375,	9.93,	
159.899,	221.845,	+1000,	5.597,	15.807,	7.106,	19.821,	11.519,	7.72,	5.436,	7.365,	10.782,	
107.766,	+1000,	+1000,	3.496,	10.297,	400.702,	6.24,	12.995,	3.441,	48.289,	21.093,	104.288,	
321.569,	+1000,	300.465,	1.571,	7.706,	302.757,	8.132,	0.389,	5.57,	11.956,	28.67,	108.363,	
36.012,	0.529,	+1000,	33.994,	9.159,	300.862,	1.158,	31.306,	104.743,	4.319,	14.298,	9.03,	
2.034,	807.066,	+1000,	10.142,	4.882,	+1000,	10.409,	1.922,	0.596,	8.05,	18.785,	3.474,	
35.763,	105.14,	1.334,	17.034,	1.579,	6.715,	13.836,	9.215,	107.282,	49.782,	12.142,	4.481,	
