0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
423.449,	310.505,	+1000,	28.555,	13.189,	105.094,	226.318,	46.931,	712.325,	430.182,	97.663,	4.863,	
70.643,	608.63,	+1000,	15.252,	14.627,	201.185,	68.597,	34.829,	9.326,	331.191,	41.608,	405.482,	
87.302,	22.1,	+1000,	10.516,	10.831,	310.957,	21.132,	26.794,	102.147,	535.743,	34.346,	102.66,	
34.227,	431.035,	+1000,	33.468,	31.247,	602.16,	167.766,	52.309,	3.342,	236.601,	79.124,	11.652,	
241.529,	604.109,	+1000,	6.526,	17.145,	500.818,	39.171,	26.835,	5.854,	47.624,	69.03,	6.498,	
549.502,	26.042,	+1000,	15.864,	29.359,	6.766,	88.812,	30.808,	1.238,	278.811,	41.88,	10.436,	
98.854,	+1000,	+1000,	81.164,	1.046,	501.282,	45.656,	32.04,	306.619,	448.868,	47.767,	6.208,	
156.175,	905.821,	+1000,	22.682,	27.443,	7.704,	115.004,	43.6,	0.47,	88.022,	0.87,	4.382,	
273.242,	21.687,	+1000,	6.756,	12.949,	302.307,	34.35,	17.586,	1.395,	165.723,	61.445,	107.515,	
41.971,	612.722,	+1000,	3.491,	23.494,	602.128,	71.224,	12.486,	0.47,	79.354,	15.731,	107.448,	

8.295,	109.513,	+1000,	20.536,	34.688,	4.974,	85.558,	47.815,	103.894,	+1000,	59.552,	5.798,	
180.081,	518.264,	+1000,	1.678,	39.301,	302.181,	7.171,	16.175,	104.343,	255.818,	42.038,	9.353,	
104.312,	109.412,	+1000,	23.872,	46.05,	400.185,	5.263,	26.855,	204.085,	779.943,	30.298,	105.462,	
5.813,	411.648,	+1000,	22.958,	18.967,	201.478,	113.331,	8.165,	8.219,	295.858,	60.928,	107.783,	
247.863,	+1000,	+1000,	53.715,	3.765,	8.959,	14.849,	63.254,	3.999,	336.805,	20.953,	407.501,	
27.643,	124.225,	+1000,	0.582,	24.294,	902.095,	46.226,	8.337,	403.015,	593.344,	75.406,	10.556,	
442.43,	15.692,	+1000,	7.168,	11.975,	204.036,	53.659,	24.866,	505.915,	582.381,	81.211,	3.564,	
70.873,	712.919,	+1000,	2.115,	12.116,	106.226,	10.229,	15.181,	501.477,	+1000,	60.735,	105.488,	
391.715,	136.742,	+1000,	17.218,	32.924,	506.941,	21.216,	15.726,	5.264,	340.136,	53.575,	610.183,	
114.714,	+1000,	+1000,	10.187,	17.391,	404.259,	20.563,	28.387,	104.631,	436.086,	30.811,	8.484,

394.067,	+1000,	+1000,	32.974,	60.037,	302.02,	273.97,	53.823,	3.515,	610.63,	51.301,	7.278,
140.261,	438.675,	+1000,	6.211,	5.809,	111.351,	23.566,	24.811,	10.141,	79.89,	56.426,	3.932,	
42.716,	12.656,	+1000,	16.491,	21.734,	1.698,	3.147,	42.568,	503.044,	417.721,	42.119,	208.113,	
151.182,	225.095,	+1000,	33.377,	18.702,	105.389,	7.844,	8.531,	211.298,	342.755,	82.727,	104.464,	
34.359,	421.431,	+1000,	6.101,	4.219,	1.4,	10.929,	5.781,	207.068,	167.747,	22.482,	103.465,	
11.641,	303.89,	+1000,	8.707,	45.038,	1.295,	35.088,	40.309,	4.973,	547.783,	71.168,	203.583,	
20.782,	409.975,	302.021,	3.947,	5.327,	106.873,	65.331,	27.046,	803.27,	242.17,	60.758,	416.6,	
70.227,	411.287,	300.623,	11.387,	9.39,	101.619,	79.238,	29.613,	303.405,	208.946,	27.366,	2.204,	
24.538,	318.43,	+1000,	17.015,	8.36,	703.279,	116.161,	71.345,	303.997,	638.848,	43.655,	16.741,	
300.794,	+1000,	+1000,	15.375,	3.753,	207.246,	22.612,	12.981,	105.103,	473.355,	76.954,	206.754,	
	
