0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
112.361,	+1000,	+1000,	24.417,	10.715,	602.78,	7.26,	27.345,	+1000,	+1000,	73.827,	411.469,	
76.396,	+1000,	+1000,	105.778,	122.696,	+1000,	743.944,	39.585,	8.266,	289.931,	160.404,	306.09,	
162.46,	104.446,	+1000,	5.398,	13.077,	801.423,	84.383,	36.045,	10.633,	+1000,	61.773,	509.191,	
534.426,	+1000,	+1000,	113.695,	19.321,	+1000,	29.751,	74.11,	106.438,	827.518,	88.066,	214.167,	
102.282,	+1000,	+1000,	45.726,	85.648,	601.62,	63.072,	12.635,	101.95,	190.72,	61.063,	+1000,	
987.72,	+1000,	+1000,	18.321,	64.202,	902.434,	59.816,	115.087,	105.781,	+1000,	48.702,	+1000,	
749.947,	301.54,	+1000,	99.046,	53.353,	+1000,	340.442,	31.715,	402.45,	+1000,	376.03,	6.431,	
137.945,	403.326,	202.281,	13.37,	28.629,	402.647,	8.801,	22.866,	204.857,	281.047,	94.59,	+1000,	
438.526,	+1000,	+1000,	11.116,	6.05,	806.408,	208.537,	50.715,	302.984,	+1000,	186.944,	113.959,	
422.715,	+1000,	+1000,	243.805,	113.868,	+1000,	693.594,	78.797,	+1000,	984.646,	29.088,	+1000,	

312.462,	17.293,	+1000,	45.7,	2.495,	+1000,	276.683,	136.267,	+1000,	+1000,	81.81,	509.19,	
86.424,	5.984,	+1000,	86.435,	10.633,	805.585,	119.047,	44.568,	506.706,	749.388,	186.437,	502.631,	
104.335,	531.789,	+1000,	27.764,	28.884,	100.258,	319.85,	38.849,	204.562,	+1000,	58.567,	+1000,	
290.303,	19.414,	+1000,	3.713,	133.208,	102.075,	10.446,	48.842,	402.576,	109.314,	264.109,	+1000,	
459.187,	+1000,	+1000,	1.47,	19.043,	402.412,	185.042,	30.334,	+1000,	+1000,	73.9,	610.419,	
190.572,	+1000,	+1000,	3.71,	208.007,	+1000,	94.641,	61.23,	110.945,	+1000,	48.834,	10.332,	
136.057,	+1000,	+1000,	24.416,	27.602,	+1000,	358.312,	27.129,	202.342,	+1000,	249.568,	910.557,	
846.448,	622.017,	+1000,	135.433,	143.772,	+1000,	25.576,	53.771,	+1000,	+1000,	269.576,	206.609,	
5.092,	+1000,	+1000,	38.589,	118.011,	104.082,	103.442,	106.961,	+1000,	+1000,	21.735,	112.222,	
101.32,	2.535,	+1000,	30.7,	112,	704.698,	57.347,	88.864,	402.778,	375.689,	78.112,	709.082,	

144.61,	+1000,	+1000,	111.68,	25.168,	+1000,	195.511,	75.407,	104.103,	+1000,	64.729,	513.065,	
+1000,	10.327,	+1000,	39.205,	141.14,	202.326,	94.229,	78.879,	305.956,	195.644,	62.508,	+1000,	
585.003,	415.798,	+1000,	32.73,	33.738,	+1000,	164.151,	241.019,	505.215,	+1000,	76.563,	+1000,	
254.627,	+1000,	+1000,	11.998,	654.757,	615.853,	396.185,	53.212,	208.688,	432.117,	53.073,	212.119,	
+1000,	301.918,	+1000,	38.765,	3.936,	204.253,	269.049,	193.275,	603.605,	256.214,	182.685,	509.143,	
327.829,	107.778,	+1000,	2.895,	10.049,	+1000,	767.482,	149.472,	206.288,	+1000,	188.25,	6.332,	
255.778,	410.924,	+1000,	118.425,	0.317,	212.161,	131.69,	114.966,	+1000,	385.288,	170.726,	709.037,	
856.428,	921.207,	+1000,	4.183,	20.535,	+1000,	172.986,	40.73,	211.458,	+1000,	55.801,	+1000,	
+1000,	347.665,	+1000,	9.871,	16.36,	+1000,	153.597,	18.7,	110.452,	358.682,	81.964,	+1000,	
51.122,	+1000,	+1000,	38.184,	206.306,	2.824,	140.958,	49.084,	+1000,	+1000,	90.662,	4.808,	
