0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
16.494,	801.086,	+1000,	2.14,	13.405,	8.223,	134.103,	10.27,	212.592,	768.675,	53.352,	16.227,	
115.717,	6.327,	+1000,	47.669,	20.543,	104.934,	67.554,	9.775,	6.208,	+1000,	41.724,	109.493,	
192.654,	+1000,	+1000,	21.98,	8.016,	2.308,	41.052,	43.265,	110.18,	565.781,	187.876,	111.74,	
343.842,	+1000,	+1000,	12.201,	8.357,	9.049,	172.933,	28.985,	306.412,	+1000,	42.432,	109.369,	
6.861,	+1000,	+1000,	1.135,	71.616,	4.216,	55.054,	22.002,	6.401,	81.529,	65.209,	14.362,	
80.285,	134.746,	+1000,	6.342,	6.515,	200.696,	155.603,	27.161,	409.667,	+1000,	37.997,	8.991,	
7.497,	904.305,	+1000,	11.34,	11.806,	104.976,	50.887,	7.829,	102.449,	+1000,	56.613,	208.362,	
+1000,	314.368,	+1000,	32.725,	8.631,	302.844,	11.536,	31.112,	704.594,	+1000,	47.884,	108.195,	
195.206,	110.038,	+1000,	2.754,	11.422,	112.525,	89.03,	13.207,	7.917,	921.549,	45.448,	111.471,	
231.597,	405.576,	+1000,	8.652,	5.655,	1.925,	47.294,	18.237,	9.222,	+1000,	57.236,	15.069,	
+1000,	912.005,	600.252,	12.563,	9.819,	4.016,	85.535,	33.009,	7.965,	440.106,	74.679,	4.704,	
+1000,	9.288,	+1000,	3.768,	25.501,	105,	29.75,	123.505,	8.088,	+1000,	16.514,	7.57,	
196.981,	212.878,	+1000,	19.899,	23.667,	2.561,	52.575,	18.2,	200.983,	469.503,	155.712,	206.111,	
234.758,	25.512,	105.036,	2.126,	25.049,	201.084,	7.483,	24.999,	210.308,	+1000,	91.264,	107.561,	
229.129,	12.77,	+1000,	37.34,	2.128,	2.295,	106.951,	16.668,	209.517,	+1000,	44.091,	211.574,	
344.117,	+1000,	+1000,	1.567,	5.649,	101.763,	63.154,	52.724,	105.826,	693.947,	6.495,	207.99,	
2.708,	+1000,	+1000,	1.13,	6.837,	3.138,	16.399,	17.584,	405,	224.292,	71.626,	6.54,	
71.579,	113.173,	+1000,	10.169,	2.347,	106.948,	456.432,	43.938,	3.492,	42.83,	40.617,	108.543,	
225.232,	+1000,	905.159,	30.256,	19.243,	101.008,	98.341,	59.481,	605.473,	190.456,	91.589,	12.439,	
+1000,	+1000,	107.62,	31.603,	65.953,	104.139,	13.932,	38.432,	3.815,	176.155,	41.551,	5.957,	
12.882,	204.685,	303.281,	5.947,	6.745,	3.915,	294.193,	49.836,	108.516,	625.365,	45.564,	307.598,	
58.117,	205.155,	+1000,	0.602,	53.779,	102.96,	164.226,	13.948,	12.887,	+1000,	62.783,	108.656,	
640.181,	6.918,	+1000,	16.16,	6.147,	8.493,	63.907,	26.796,	8.016,	217.667,	28.54,	112.238,	
3.253,	905.943,	209.736,	52.182,	10.392,	201.49,	21.875,	23.595,	4.89,	+1000,	40.402,	6.688,	
2.993,	23.812,	+1000,	28.937,	11.317,	7.391,	332.746,	28.745,	203.718,	631.382,	20.923,	105.608,	
52.394,	224.548,	+1000,	36.675,	4.652,	301.96,	40.027,	71.709,	7.082,	497.634,	43.983,	209.533,	
19.996,	+1000,	+1000,	33.13,	3.373,	404.046,	499.938,	14.657,	7.478,	34.921,	50.464,	809.632,	
222.885,	+1000,	+1000,	31.431,	6.533,	305.607,	11.655,	21.94,	104.129,	486.354,	32.477,	12.604,	
84.034,	+1000,	+1000,	13.141,	3.686,	102.888,	151.239,	22.979,	500.271,	+1000,	49.534,	209.905,	
85.281,	+1000,	+1000,	10.355,	19.774,	6.928,	252.732,	20.45,	7.496,	+1000,	54.826,	111.571,	
