0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
+1000,	+1000,	+1000,	+1000,	636.843,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
307.221,	534.041,	+1000,	+1000,	+1000,	+1000,	+1000,	78.971,	+1000,	+1000,	+1000,	+1000,	
+1000,	25.148,	+1000,	297.076,	759.108,	+1000,	+1000,	+1000,	+1000,	+1000,	98.799,	+1000,	
+1000,	107.566,	+1000,	22.931,	20.328,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
804.14,	+1000,	+1000,	691.763,	763.358,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
416.35,	+1000,	+1000,	488.051,	419.195,	+1000,	+1000,	892.235,	+1000,	+1000,	+1000,	+1000,	
+1000,	+1000,	+1000,	+1000,	19.569,	505.991,	+1000,	284.583,	308.174,	+1000,	+1000,	+1000,	
+1000,	+1000,	+1000,	+1000,	737.573,	+1000,	+1000,	198.32,	+1000,	+1000,	865.223,	+1000,	
+1000,	+1000,	+1000,	193.63,	175.777,	902.048,	+1000,	+1000,	+1000,	+1000,	994.771,	+1000,	
368.625,	+1000,	+1000,	81.614,	177.092,	+1000,	+1000,	772.688,	+1000,	+1000,	+1000,	207.91,	
955.587,	+1000,	+1000,	261.238,	34.107,	+1000,	+1000,	558.277,	+1000,	+1000,	+1000,	912.215,	
+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
+1000,	+1000,	+1000,	965.957,	202.113,	+1000,	+1000,	295.285,	+1000,	+1000,	478.802,	+1000,	
+1000,	+1000,	+1000,	912.139,	817.905,	+1000,	+1000,	199.908,	+1000,	+1000,	+1000,	+1000,	
966.803,	340.534,	+1000,	519.721,	247.803,	+1000,	+1000,	83.035,	+1000,	+1000,	+1000,	+1000,	
+1000,	+1000,	+1000,	+1000,	163.999,	+1000,	+1000,	241.06,	+1000,	+1000,	+1000,	+1000,	
159.832,	+1000,	+1000,	794.938,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
100.712,	+1000,	+1000,	+1000,	16.509,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
775.543,	+1000,	+1000,	+1000,	404.784,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
16.019,	+1000,	+1000,	86.038,	423.269,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
128.28,	+1000,	+1000,	+1000,	627.495,	+1000,	+1000,	+1000,	809.633,	+1000,	+1000,	+1000,	
+1000,	+1000,	+1000,	60.689,	428.604,	+1000,	+1000,	270.756,	+1000,	+1000,	+1000,	+1000,	
413.6,	+1000,	+1000,	+1000,	+1000,	302.479,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
+1000,	+1000,	+1000,	+1000,	511.395,	+1000,	+1000,	276.893,	+1000,	+1000,	291.505,	+1000,	
+1000,	+1000,	+1000,	175.756,	454.419,	+1000,	+1000,	+1000,	304.712,	+1000,	296.836,	+1000,	
+1000,	+1000,	+1000,	+1000,	438.582,	+1000,	+1000,	782.887,	+1000,	+1000,	+1000,	+1000,	
+1000,	+1000,	+1000,	+1000,	942.499,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
+1000,	+1000,	+1000,	500.054,	113.187,	+1000,	874.703,	387.374,	+1000,	+1000,	+1000,	821.48,	
96.121,	149.967,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	466.716,	+1000,	
+1000,	+1000,	+1000,	84.074,	321.935,	107.236,	+1000,	+1000,	+1000,	+1000,	+1000,	+1000,	
