0.7	0.8	0.9	1	1.1	1.2	
0.999995	0.999999	0.9999995	1	
100000	
0.7,	0.7,	0.7,	0.7,	0.8,	0.8,	0.8,	0.8,	0.9,	0.9,	0.9,	0.9,	1,	1,	1,	1,	1.1,	1.1,	1.1,	1.1,	1.2,	1.2,	1.2,	1.2,	
0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
14.84,	7.675,	7.605,	7.973,	11.766,	18.67,	3.046,	44.516,	19.506,	12.158,	3,	90.571,	37.206,	62.376,	4,	91.577,	65.817,	30.731,	4,	6,	75.256,	11,	14,	13,	
10.086,	5.073,	11.282,	12.858,	2.44,	4.545,	6.128,	5.244,	25.458,	30.989,	70.468,	74.66,	69.023,	26.797,	49.798,	3,	81.152,	7,	8,	7,	65.829,	10,	3,	14,	
11.552,	8.032,	14.313,	7.142,	14.297,	16.981,	6.752,	20.479,	13.351,	7.189,	19.593,	15.071,	26.862,	39.356,	85.852,	4,	38.259,	4,	4,	6,	56.368,	8,	19,	13,	
16.498,	7.997,	9.853,	3.717,	5.192,	13.035,	5.61,	13.219,	31.605,	10.124,	14.147,	92.89,	47.009,	4,	3,	5,	58.393,	68.216,	10,	12,	75.028,	8,	10,	20,	
9.307,	2.832,	3.916,	25.524,	15.417,	22.301,	28.089,	16.621,	18.914,	31.32,	16.239,	6.899,	33.157,	3,	77.41,	4,	31.751,	4,	11,	9,	61.285,	14,	11,	13,	
6.051,	8.934,	8.127,	5.13,	10.976,	16.323,	45.204,	10.155,	21.747,	29.365,	19.608,	24.909,	33.77,	3,	91.522,	6,	66.201,	83.97,	8,	4,	10.654,	8,	13,	16,	
16.138,	8.273,	7.252,	3.426,	14.549,	7.926,	25.262,	23.326,	36.4,	7.463,	64.924,	10.764,	38.627,	57.176,	3,	66.437,	85.908,	7,	4,	4,	52.626,	10,	14,	16,	
7.138,	12.068,	5.438,	4.108,	24.919,	3.251,	6.269,	4.886,	8.444,	44.355,	23.953,	65.529,	30.984,	6.967,	3,	5,	46.733,	4,	9,	11,	65.084,	14,	18,	11,	
7.218,	21.599,	5.56,	10.94,	29.261,	5.86,	4.139,	15.481,	43.087,	96.563,	16.926,	5.138,	18.874,	24.57,	3,	3,	53.326,	8,	6,	7,	76.174,	3,	4,	14,	
7.551,	16.106,	12.415,	9.855,	13.813,	5.542,	15.975,	21.744,	12.902,	30.146,	26.847,	28.671,	33.278,	84.369,	3,	7,	21.555,	4,	4,	10,	84.124,	8,	16,	20,	
4.61,	4.644,	5.506,	2.297,	6.116,	27.612,	8.142,	9.934,	15.036,	26.42,	7.59,	23.265,	42.041,	49.851,	49.669,	4,	63.035,	4,	6,	8,	82.443,	10,	12,	13,	
6.421,	2.735,	7.066,	9.678,	18.332,	11.981,	6.664,	10.106,	8.576,	15.618,	24.011,	53.298,	29.143,	11.746,	3,	6,	59.798,	7,	5,	11,	73.822,	7,	12,	12,	
7.005,	9.311,	5.431,	11.681,	12.634,	7.087,	18.161,	13.823,	36.984,	42.634,	7.836,	11.385,	10.773,	81.95,	3,	3,	59.736,	66.865,	4,	12,	46.157,	6,	18,	12,	
11.11,	6.131,	13.907,	5.684,	4.212,	8.293,	11.105,	10.114,	25.003,	18.179,	17.816,	33.562,	30.721,	36.306,	4,	4.472,	60.642,	4,	8,	10,	51.662,	8,	14,	11,	
9.579,	24.135,	10.992,	7.401,	22.714,	6.562,	41.163,	15.223,	7.543,	33.851,	11.05,	39.649,	44.905,	3,	3,	47.248,	61.622,	6,	7,	13,	74.576,	9,	17,	12,	
2.667,	9.746,	9.469,	5.041,	4.16,	35.928,	5.77,	37.987,	40.534,	41.021,	15.391,	66.101,	41.774,	3,	19.481,	7,	46.219,	4,	8,	10,	77.205,	8,	13,	14,	
9.672,	15.585,	11.66,	7.143,	6.267,	16.192,	9.345,	3.016,	12.434,	7.77,	3,	76.747,	17.777,	44.178,	4,	8,	61.706,	7,	8,	9,	65.098,	10,	8,	14,	
5.134,	6.716,	18.443,	4.612,	9.892,	15.578,	7.471,	12.468,	39.001,	24.943,	37.81,	4,	12.403,	59.384,	36.01,	78.597,	93.206,	4,	8,	7,	67.796,	6,	15,	16,	
7.027,	13.069,	28.76,	9.966,	5.628,	14.447,	10.249,	19.502,	6.404,	8.712,	9.256,	15.664,	19.545,	98.377,	64.133,	3,	34.409,	4,	8,	11,	3,	10,	13,	14,	
13.264,	11.52,	7.368,	5.561,	17.67,	16.226,	6.058,	30.054,	14.096,	36.384,	27.266,	19.675,	41.984,	4,	3,	55.235,	53.407,	4,	6,	15,	47.546,	12,	15,	11,	
14.272,	7.953,	7.661,	10.32,	8.309,	4.456,	21.563,	8.768,	26.529,	5.175,	32.501,	15.197,	39.638,	3,	94.753,	4,	67.362,	4,	8,	12,	57.908,	7,	11,	15,	
3.637,	5.963,	2.473,	3.912,	7.128,	14.056,	12.255,	13.701,	17.359,	63.171,	5.163,	41.334,	36.5,	4,	76.567,	8.663,	74.748,	3,	3,	12,	81.094,	8,	12,	13,	
