0.7	0.8	0.9	1	1.1	1.2	
0.999995	0.999999	0.9999995	1	
100000	
0.7,	0.7,	0.7,	0.7,	0.8,	0.8,	0.8,	0.8,	0.9,	0.9,	0.9,	0.9,	1,	1,	1,	1,	1.1,	1.1,	1.1,	1.1,	1.2,	1.2,	1.2,	1.2,	
0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	0.999995,	0.999999,	0.9999995,	1,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
8,	1,	4,	11,	5,	7,	1,	8,	1,	9,	6,	9,	4,	1,	8,	15,	3,	10,	13,	13,	9,	17,	20,	20,	
5,	6,	3,	7,	9,	5,	1,	3,	6,	11,	1,	1,	6,	3,	12,	7,	12,	10,	16,	11,	1,	12,	20,	20,	
8,	6,	7,	3,	6,	7,	11,	6,	9,	6,	1,	9,	6,	13,	10,	16,	6,	4,	11,	13,	4,	13,	19,	20,	
9,	10,	1,	9,	8,	7,	4,	6,	6,	7,	5,	4,	10,	3,	2,	10,	3,	8,	14,	15,	8,	12,	17,	17,	
6,	3,	1,	3,	7,	4,	6,	3,	10,	5,	6,	12,	6,	11,	15,	10,	8,	12,	17,	19,	8,	20,	16,	20,	
11,	4,	1,	9,	3,	3,	3,	7,	8,	9,	1,	11,	7,	16,	7,	7,	4,	6,	11,	13,	7,	18,	20,	17,	
5,	5,	3,	7,	6,	13,	7,	1,	1,	3,	12,	3,	4,	7,	11,	11,	7,	8,	14,	9,	3,	14,	16,	12,	
10,	8,	4,	3,	10,	1,	1,	1,	4,	3,	11,	10,	8,	7,	10,	8,	3,	18,	17,	8,	12,	14,	14,	17,	
1,	2,	5,	6,	7,	11,	3,	6,	4,	8,	12,	14,	4,	3,	6,	9,	3,	12,	11,	9,	1,	20,	15,	20,	
6,	3,	5,	11,	6,	7,	7,	3,	2,	1,	1,	5,	9,	3,	6,	12,	11,	18,	18,	14,	9,	10,	14,	17,	
9,	9,	2,	1,	6,	1,	5,	1,	4,	7,	5,	5,	1,	11,	11,	6,	6,	9,	9,	16,	3,	16,	17,	16,	
6,	6,	8,	4,	7,	3,	5,	3,	4,	3,	8,	11,	5,	9,	9,	15,	7,	10,	4,	13,	10,	20,	15,	20,	
9,	7,	7,	4,	13,	1,	9,	7,	6,	5,	3,	6,	3,	8,	9,	12,	3,	15,	12,	14,	8,	10,	16,	15,	
8,	7,	3,	5,	7,	5,	3,	9,	3,	1,	7,	5,	1,	3,	8,	10,	5,	11,	17,	17,	10,	13,	16,	16,	
3,	3,	1,	9,	7,	1,	6,	5,	7,	7,	2,	3,	4,	11,	17,	13,	1,	8,	10,	8,	8,	18,	17,	20,	
6,	11,	3,	4,	8,	6,	3,	7,	6,	6,	8,	8,	6,	10,	11,	12,	1,	8,	8,	11,	1,	20,	13,	20,	
10,	1,	3,	3,	3,	1,	9,	4,	5,	7,	4,	4,	9,	3,	3,	12,	4,	8,	12,	17,	9,	14,	17,	12,	
10,	8,	6,	11,	6,	9,	7,	1,	4,	1,	6,	3,	8,	6,	6,	11,	8,	10,	9,	17,	9,	20,	20,	16,	
9,	7,	9,	1,	3,	1,	1,	8,	3,	3,	10,	12,	11,	7,	8,	7,	4,	14,	14,	14,	3,	18,	14,	20,	
8,	4,	11,	1,	3,	4,	4,	3,	1,	10,	9,	4,	3,	10,	7,	3,	8,	10,	13,	18,	8,	14,	18,	20,	
7,	9,	5,	5,	7,	1,	1,	5,	1,	9,	4,	10,	7,	3,	9,	13,	4,	7,	12,	18,	5,	16,	18,	20,	
11,	6,	12,	10,	3,	4,	3,	3,	1,	7,	5,	1,	3,	12,	11,	10,	4,	11,	13,	7,	3,	13,	20,	20,	
9,	3,	6,	8,	9,	6,	13,	5,	11,	3,	3,	5,	5,	6,	6,	10,	6,	13,	14,	19,	7,	15,	20,	19,	
10,	6,	1,	8,	7,	3,	3,	5,	1,	1,	1,	5,	1,	3,	4,	6,	1,	16,	14,	18,	7,	14,	14,	20,	
3,	9,	3,	3,	5,	7,	3,	6,	6,	8,	10,	7,	10,	8,	11,	12,	7,	10,	12,	12,	3,	15,	16,	20,	
7,	6,	8,	11,	3,	6,	9,	12,	4,	3,	1,	2,	8,	4,	3,	13,	5,	13,	16,	12,	9,	14,	14,	17,	
14,	7,	8,	5,	9,	4,	6,	8,	7,	1,	7,	8,	4,	10,	13,	8,	1,	7,	17,	13,	5,	15,	19,	20,	
6,	8,	3,	1,	6,	6,	4,	6,	1,	3,	10,	2,	8,	8,	11,	11,	1,	9,	14,	12,	14,	13,	17,	20,	
4,	7,	7,	6,	7,	4,	3,	7,	1,	1,	6,	11,	5,	4,	12,	11,	4,	13,	17,	11,	8,	14,	20,	20,	
9,	9,	8,	10,	3,	1,	7,	7,	9,	8,	6,	3,	6,	6,	13,	3,	1,	16,	18,	14,	12,	14,	13,	20,	
5,	7,	3,	8,	1,	3,	1,	2,	7,	12,	6,	10,	3,	14,	9,	12,	5,	12,	14,	12,	15,	19,	19,	17,	
14,	1,	3,	8,	3,	3,	5,	3,	3,	2,	5,	5,	6,	9,	8,	9,	6,	9,	13,	17,	10,	18,	16,	19,	
