112.579,	0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
+1000,	10.351,	+1000,	11.964,	18.023,	3.306,	7.303,	9.549,	104.345,	39.519,	4.078,	1.171,	
360.873,	1.828,	+1000,	10.645,	2.527,	3.539,	5.165,	5.253,	1.784,	19.599,	4.849,	103.737,	
186.494,	638.109,	+1000,	4.846,	3.205,	2.926,	9.102,	2.456,	10.083,	6.536,	8.857,	8.656,	
34.054,	+1000,	201.739,	9.883,	8.862,	103.9,	2.342,	7.82,	1.895,	6.595,	2.507,	0.943,	
+1000,	838.904,	+1000,	0.723,	21.591,	302.759,	2.125,	5.142,	103.38,	13.444,	22.869,	6.848,	
453.292,	14.604,	+1000,	6.516,	28.53,	+1000,	3.654,	3.913,	3.621,	4.502,	32.77,	8.981,	
280.392,	+1000,	+1000,	1.975,	19.392,	402.919,	3.332,	12.188,	8.079,	2.777,	31.224,	3.832,	
7.848,	826.511,	+1000,	7.8,	8.124,	3.371,	11.396,	19.414,	4.343,	2.34,	3.2,	1.815,	
628.201,	+1000,	203.412,	14.743,	1.95,	201.722,	3.936,	1.761,	1.756,	18.129,	1.546,	1.848,	
+1000,	+1000,	1.649,	13.88,	5.172,	304.356,	12.19,	0.671,	0.253,	18.006,	6.71,	7.235,	

724.282,	206.487,	+1000,	4.061,	1.608,	1.065,	6.261,	13.599,	302.104,	1.362,	24.423,	7.143,	
281.625,	3.475,	+1000,	4.828,	10.923,	718.904,	4.299,	5.073,	4.014,	0.586,	4.738,	3.669,	
93.565,	+1000,	+1000,	2.794,	25.458,	2.925,	14.681,	2.35,	2.732,	2.761,	0.409,	2.291,	
575.497,	+1000,	+1000,	3.246,	22.037,	+1000,	13.757,	7.36,	8.152,	5.793,	17.498,	1.822,	
3.732,	323.732,	+1000,	2.293,	3.529,	0.862,	1.198,	2.532,	100.857,	15.325,	10.772,	2.512,	
138.785,	2.469,	+1000,	5.977,	13.6,	1.58,	1.914,	1.695,	1.553,	15.102,	6.568,	5.05,	
+1000,	415.939,	1.175,	4.798,	23.103,	+1000,	5.499,	23.445,	0.708,	12.53,	3.598,	207.764,	
+1000,	313.574,	+1000,	1.795,	2.625,	606.088,	4.588,	3.225,	0.735,	3.44,	26.303,	3.166,	
0.725,	314.992,	+1000,	8.681,	19.894,	305.42,	20.26,	0.902,	0.942,	8.325,	6.438,	3.515,	
184.817,	+1000,	+1000,	7.296,	14.796,	102.421,	4.825,	5.367,	104.599,	6.494,	16.675,	2.828,	

212.192,	13.295,	+1000,	3.891,	7.555,	101.209,	11.451,	1.426,	0.647,	0.68,	12.833,	2.31,	
307.543,	122.3,	+1000,	6.04,	38.536,	801.285,	1.31,	0.67,	0.519,	2.355,	9.569,	105.154,	
360.899,	+1000,	+1000,	5.327,	3.907,	+1000,	2.187,	6.297,	101.872,	7.023,	1.473,	6.354,	
1.108,	303.084,	+1000,	3.2,	28.992,	4.386,	5.594,	8.063,	4.187,	1.687,	6.304,	2.384,	
33.714,	212.805,	+1000,	5.022,	7.63,	3.731,	2.347,	8.571,	101.718,	8.654,	0.788,	5.845,	
+1000,	10.055,	+1000,	3.904,	35.218,	+1000,	7.717,	0.956,	2.757,	5.134,	7.269,	1.967,	
20.205,	706.063,	+1000,	12.548,	143.47,	7.122,	3.032,	4.624,	1.482,	9.414,	3.768,	5.235,	
10.107,	+1000,	401.079,	5.388,	3.326,	607.735,	5.74,	5.755,	1.227,	14.104,	1.675,	102.022,	
28.624,	607.046,	+1000,	3.319,	0.889,	402.109,	1.599,	19.551,	2.705,	35.585,	29.43,	9.802,	
+1000,	107.842,	+1000,	9.249,	15.142,	102.555,	2.449,	2.632,	7.129,	9.656,	33.115,	103.225,	
