0.5	1	1.5	2	
0.999999	0.99999	0.9999	
100000	
0.5,	0.5,	0.5,	1,	1,	1,	1.5,	1.5,	1.5,	2,	2,	2,	
0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	0.999999,	0.99999,	0.9999,	
100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	100000,	
179.863,	19.141,	+1000,	4.171,	1.131,	+1000,	2.433,	7.684,	1.441,	192.565,	11.81,	8.914,	
144.512,	118.588,	+1000,	1.747,	24.882,	101.371,	8.375,	3.043,	8.384,	45.662,	12.381,	112.21,	
222.203,	412.783,	201.651,	36.856,	14.618,	209.773,	11.778,	13.547,	108.496,	39.964,	19.539,	107.223,	
161.822,	140.231,	+1000,	7.849,	5.551,	7.993,	33.933,	5.095,	201.221,	96.819,	57.969,	203.716,	
338.561,	103.484,	+1000,	18.985,	5.483,	202.743,	15.135,	4.635,	106.389,	82.46,	39.207,	5.96,	
10.252,	132.77,	204.611,	10.675,	22.216,	3.89,	1.269,	8.86,	3.355,	33.36,	9.195,	109.501,	
241.09,	203.253,	+1000,	9.203,	1.565,	1.716,	4.064,	20.99,	4.446,	13.116,	22.235,	12.042,	
205.348,	+1000,	+1000,	6.235,	9.775,	206.328,	1.805,	12.55,	300.642,	4.148,	14.113,	102.782,	
19.368,	633.814,	+1000,	18.202,	18.966,	302.434,	30.123,	24.256,	210.899,	4.215,	22.309,	8.747,	
442.672,	610.612,	+1000,	27.859,	2.139,	307.923,	4.287,	3.949,	103.406,	118.644,	25.37,	201.11,	
70.208,	118.077,	+1000,	53.53,	13.013,	2.896,	25.29,	19.604,	6.524,	12.063,	10.648,	8.526,	
97.768,	+1000,	+1000,	8.984,	1.957,	8.372,	79.875,	9.038,	8.109,	7.876,	24.536,	104.44,	
6.795,	33.187,	+1000,	43.029,	2.563,	402.686,	1.661,	7.06,	4.553,	35.458,	33.957,	111.351,	
139.017,	+1000,	+1000,	4.096,	1.252,	1.987,	5.994,	9.277,	16.367,	13.889,	32.329,	103.626,	
17.975,	25.305,	+1000,	6.867,	4.367,	301.521,	9.388,	9.905,	5.931,	173.486,	10.111,	5.98,	
228.374,	+1000,	201.302,	21.341,	47.507,	1.361,	96.084,	3.554,	1.122,	72.584,	10.784,	4.402,	
152.532,	136.112,	+1000,	12.619,	10.304,	406.998,	19.537,	16.727,	2.279,	17.64,	33.275,	0.922,	
2.507,	601.388,	101.046,	2.46,	3.977,	2.52,	8.437,	47.068,	4.534,	24.536,	10.174,	3.305,	
86.291,	+1000,	+1000,	8.886,	27.091,	100.883,	19.163,	18.027,	2.958,	33.496,	20.762,	205.233,	
101.767,	113.776,	+1000,	30.216,	17.73,	101.366,	13.198,	0.597,	106.333,	1.88,	26.792,	107.991,	
418.388,	207.382,	+1000,	14.11,	34.662,	503.515,	10.653,	21.702,	2.412,	18.435,	42.237,	4.963,	
101.73,	30.914,	801.328,	46.628,	7.01,	100.849,	18.232,	1.127,	2.375,	34.485,	16.384,	4.386,	
103.905,	416.672,	+1000,	4.999,	22.273,	100.336,	12.851,	11.826,	207.226,	19.049,	27.124,	107.045,	
75.638,	9.772,	+1000,	32.443,	1.42,	1.626,	50.488,	24.22,	104.607,	9.078,	15.492,	4.633,	
7.803,	215.606,	+1000,	10.504,	23.883,	101.716,	1.34,	10.405,	101.861,	154.127,	10.804,	7.256,	
25.484,	703.468,	+1000,	4.49,	1.906,	4.699,	33.409,	4.43,	2.278,	33.315,	7.688,	6.729,	
143.193,	116.61,	6.099,	16.325,	8.744,	405.534,	13.051,	3.735,	0.977,	87.679,	10.379,	100.418,	
222.9,	303.596,	+1000,	14.924,	1.505,	204.665,	4.218,	1.161,	107.689,	24.933,	38.286,	202.688,	
48.884,	231.934,	+1000,	6.042,	3.8,	206.546,	25.376,	20.729,	2.096,	30.506,	18.145,	104.736,	
174.988,	114.385,	802.336,	32.435,	1.37,	7.937,	18.521,	4.306,	101.332,	24.379,	3.241,	12.286,	
